patent_id,claim_number,text,sequence,dependent,exemplary,subclass
10606798,1,"1. A method for configuring an address table, the method being applied to a field-programmable gate array (FPGA), and the method comprising: obtaining a key, the key being generated based on a first packet of a data stream, a length of the key being equal to a key bit width of the FPGA, the FPGA comprising k storage blocks, and the k being greater than or equal to two; obtaining an index number corresponding to the key, the index number being used to search for a forwarding entry of the data stream; dividing the key into k sub-keys, each of the k sub-keys corresponding to one of the k storage blocks; determining an address entry of each of the k sub-keys in a corresponding storage block; and writing a storage address to the address entry based on the index number.",0,,1,B
10606798,2,"2. The method of claim 1 , wherein before obtaining the key, the method further comprises: obtaining the key bit width of the FPGA; obtaining an address bit width of the FPGA, wherein the address bit width is used to determine a maximum quantity of entries of an address table in each storage block of the FPGA; and determining the k storage blocks based on the key bit width and the address bit width.",1,claim 1,0,B
10606798,3,"3. The method of claim 2 , wherein determining the k storage blocks based on the key bit width and the address bit width comprises: determining a storage block quantity k corresponding to the key bit width and the address bit width; and determining the k storage blocks from a storage area of the FPGA based on the address bit width and the storage block quantity k.",2,claim 2,0,B
10606798,4,"4. The method of claim 1 , wherein writing the storage address to the address entry based on the index number comprises: setting a bit corresponding to the index number in the address entry to one; and keeping values of other bits in the address entry unchanged.",3,claim 1,0,B
10606798,5,"5. The method of claim 1 , further comprising: receiving a search request, wherein the search request is generated based on a second packet of the data stream, and wherein the search request comprises the key; dividing the key into the k sub-keys; reading, using each of the k sub-keys as an address, a storage address in an address entry in a storage block corresponding to a sub-key to obtain k storage addresses; performing an AND operation on the k storage addresses to obtain a target storage address; and generating the index number based on the target storage address.",4,claim 1,0,B
10606798,6,"6. A field-programmable gate array (FPGA) comprising: k storage blocks, wherein k is greater than or equal to two; and a calculation circuit coupled to the k storage blocks and configured to: obtain a key, wherein the key is generated based on a first packet of a data stream, and wherein a length of the key is equal to a key bit width of the FPGA; obtain an index number corresponding to the key, wherein the index number is used to search for a forwarding entry of the data stream; divide the key into k sub-keys, wherein each of the k sub-keys corresponds to one of the k storage blocks; determine an address entry of each of the k sub-keys in a corresponding storage block; and write a storage address to the address entry based on the index number, wherein each of the k storage blocks being configured to store the storage address written by the calculation circuit.",5,,0,B
10606798,7,"7. The FPGA of claim 6 , wherein before obtaining the key, the calculation circuit is further configured to: obtain the key bit width; obtain an address bit width of the FPGA, wherein the address bit width is used to determine a maximum quantity of entries of an address table in each storage block of the FPGA; and determine the k storage blocks based on the key bit width and the address bit width.",6,claim 6,0,B
10606798,8,"8. The FPGA of claim 7 , wherein when determining the k storage blocks, the calculation circuit is configured to: determine a storage block quantity k corresponding to the key bit width and the address bit width; and determine the k storage blocks from a storage area of the FPGA based on the address bit width and the storage block quantity k.",7,claim 7,0,B
10606798,9,"9. The FPGA of claim 8 , wherein when writing the storage address to the address entry based on the index number, the calculation circuit is configured to: determine the address entry of each of the k sub-keys in the corresponding storage block; set a bit corresponding to the index number in the address entry to one; and keep values of other bits in the address entry unchanged.",8,claim 8,0,B
10606798,10,"10. The FPGA of claim 9 , wherein the calculation circuit is further configured to: receive a search request, wherein the search request being generated based on a second packet of the data stream, and wherein the search request comprises the key; divide the key into the k sub-keys; read, using each of the k sub-keys as an address, a storage address in an address entry in a storage block corresponding to a sub-key to obtain k storage addresses; perform an AND operation on the k storage addresses to obtain a target storage address; and generate the index number based on the target storage address.",9,claim 9,0,B
10606798,11,"11. The FPGA of claim 6 , wherein when writing the storage address to the address entry based on the index number, the calculation circuit is configured to: determine the address entry of each of the k sub-keys in the corresponding storage block; set a bit corresponding to the index number in the address entry to one; and keep values of other bits in the address entry unchanged.",10,claim 6,0,B
10606798,12,"12. The FPGA of claim 6 , wherein the calculation circuit is further configured to: receive a search request, wherein the search request is generated based on a second packet of the data stream, and wherein the search request comprises the key; divide the key into the k sub-keys; read, using each of the k sub-keys as an address, a storage address in an address entry in a storage block corresponding to a sub-key to obtain k storage addresses; perform an AND operation on the k storage addresses to obtain a target storage address; and generate the index number based on the target storage address.",11,claim 6,0,B
10606798,13,"13. A network device comprising: a field-programmable gate array (FPGA) comprising k storage blocks, wherein k is greater than or equal to two; and a processor coupled to the FPGA and configured to: receive a first packet of a data stream; generate a key and an index number based on the first packet, wherein a length of the key is equal to a key bit width of the FPGA, and wherein the index number is used to search for a forwarding entry of the data stream; and send the key and the index number to the FPGA, wherein the FPGA is configured to: receive the key and the index number; divide the key into k sub-keys, wherein each of the k sub-keys corresponds to one of the k storage blocks; determine an address entry of each of the k sub-keys in a corresponding storage block; and write a storage address to the address entry based on the index number.",12,,0,B
10606798,14,"14. The network device of claim 13 , wherein the FPGA is further configured to: obtain the key bit width of the FPGA; obtain an address bit width of the FPGA, wherein the address bit width is used to determine a maximum quantity of entries of an address table in each storage block of the FPGA; and determine the k storage blocks based on the key bit width and the address bit width.",13,claim 13,0,B
10606798,15,"15. The network device of claim 14 , wherein when determining the k storage blocks, the FPGA is further configured to: determine a storage block quantity k corresponding to the key bit width and the address bit width; and determine the k storage blocks from a storage area of the FPGA based on the address bit width and the storage block quantity k.",14,claim 14,0,B
10606798,16,"16. The network device of claim 15 , wherein when writing the storage address to the address entry based on the index number, the FPGA is further configured to: determine the address entry of each of the k sub-keys in the corresponding storage block; set a bit corresponding to the index number in the address entry to one; and keep values of other bits in the address entry unchanged.",15,claim 15,0,B
10606798,17,"17. The network device of claim 16 , wherein when generating the index number based on the first packet, the processor is further configured to: generate the forwarding entry for the data stream based on the first packet; write the forwarding entry to a forwarding table; and set a sequence number of the forwarding entry in the forwarding table as the index number.",16,claim 16,0,B
10606798,18,"18. The network device of claim 17 , wherein the processor is further configured to: receive a second packet of the data stream, wherein the second packet is a subsequent packet of the first packet; generate the key based on the second packet; and send a search request to the FPGA, the search request comprising the key, and wherein the FPGA is further configured to: receive the search request; divide the key into the k sub-keys; read, using each of the k sub-keys as an address, a storage address in an address entry in a storage block corresponding to a sub-key to obtain k storage addresses; perform an AND operation on the k storage addresses to obtain a target storage address; and generate the index number based on the target storage address.",17,claim 17,0,B
10606798,19,"19. The network device of claim 18 , wherein the FPGA is further configured to send the index number to the processor, and wherein the processor is further configured to: receive the index number; obtain the forwarding entry based on the index number; and forward the second packet based on the forwarding entry.",18,claim 18,0,B
10606798,20,"20. The network device of claim 13 , wherein the processor is further configured to: receive a second packet of the data stream, the second packet being a subsequent packet of the first packet; generate the key based on the second packet; and send a search request to the FPGA, wherein the search request comprises the key, and wherein the FPGA is further configured to: receive the search request; divide the key into the k sub-keys; read, using each of the k sub-keys as an address, a storage address in an address entry in a storage block corresponding to a sub-key to obtain k storage addresses; perform an AND operation on the k storage addresses to obtain a target storage address; and generate the index number based on the target storage address.",19,claim 13,0,B
10606799,1,"1. A computer implemented method for transferring data between computer language layers, the method comprising: receiving a first data bridge structure in a first data format from a first computer language layer that includes a first set of computer code, wherein the first data bridge structure includes a number of character fields including a request field indicating a function to be performed for the first set of computer code by a second computer language layer that includes a second set of computer code, wherein the first and second sets of computer code use different computer languages; transforming the first data bridge structure from the first data format to a second data format that is being used by the second set of computer code, wherein the transforming includes transforming data in the character fields from a defined first character set to a defined second character set; and transferring data between the first and second computer language layers by sending, to the second set of computer code, the first data bridge structure in the second data format.",0,,1,B
10606799,2,"2. The method of claim 1 , wherein the first data bridge structure further comprises numeric fields.",1,claim 1,0,B
10606799,3,"3. The method of claim 2 , wherein the transforming further comprises transforming the numeric fields of the first data bridge structure to a different endian state.",2,claim 2,0,B
10606799,4,"4. The method of claim 1 , wherein the first data bridge structure includes: an argument field comprising characters designating arguments to the function indicated by the request field.",3,claim 1,0,B
10606799,5,"5. The method of claim 1 , wherein the first data bridge structure comprises: a character buffer to transfer character data between the first set of computer code and the second set of computer code; and a data buffer to transfer computer data between the first set of computer code and the second set of computer code.",4,claim 1,0,B
10606799,6,"6. The method of claim 5 , further comprising: placing a boundary data pattern adjacent to the character buffer of the first data bridge structure; and verifying that the boundary data pattern is adjacent to the character buffer of a second data bridge structure that is received from the second set of computer code.",5,claim 5,0,B
10606799,7,"7. The method of claim 5 , further comprising: placing a boundary data pattern adjacent to the data buffer of the first data bridge structure that is received from the first set of computer code; and verifying that the boundary data pattern is adjacent to the data buffer of a second data bridge structure that is received from the second set of computer code.",6,claim 5,0,B
10606799,8,"8. The method of claim 1 , further comprising: accepting a second data bridge structure in a second data format from the second set of computer code; converting the second data bridge structure from the second data format to the first data format; and communicating the second data bridge structure in the first data format to the first set of computer code.",7,claim 1,0,B
10606799,9,"9. The method of claim 8 , wherein the first data bridge structure and the second data bridge structure occupy the same memory location.",8,claim 8,0,B
10606799,10,"10. The method of claim 1 , wherein transforming the first data bridge structure from the first data format to the second data format comprises transforming at least one of the request field, an argument field, and a character buffer from a first character set to a second character set.",9,claim 1,0,B
10606799,11,"11. A system for transferring data between a first computer language layer and a second computer language layer, the system comprising: a processor; memory communicatively connected to the processor; and a data communication system comprising: a receiving module to receive a first data bridge structure in a first data format from a first computer language layer that includes a first set of computer code, wherein the first data bridge structure includes a number of character fields including a request field indicating a function to be performed for the first set of computer code by a second computer language layer that includes a second set of computer code, wherein the first and second sets of computer code use different computer languages; a transforming module to transform the first data bridge structure from the first data format to a second data format that is being used by the second set of computer code, wherein the transforming includes comprising transforming data in the character fields from a defined first character set to a defined second character set; and a transferring module to transfer data between the first and second computer language layers by sending, to the second set of computer code, the first data bridge structure in the second data format.",10,,0,B
10606799,12,"12. The system of claim 11 , wherein the first data bridge structure further comprises numeric fields.",11,claim 11,0,B
10606799,13,"13. The system of claim 12 , wherein the transforming module is to transform the numeric fields of the first data bridge structure to a different endian state.",12,claim 12,0,B
10606799,14,"14. The system of claim 11 , wherein the first data bridge structure includes: an argument field comprising characters designating arguments to the function indicated by the request field.",13,claim 11,0,B
10606799,15,"15. The system of claim 11 , wherein the first data bridge structure comprises: a character buffer to transfer character data between the first set of computer code and the second set of computer code; and a data buffer to transfer computer data between the first set of computer code and the second set of computer code.",14,claim 11,0,B
10606799,16,"16. The system of claim 15 , further comprising: a placing module to place a boundary data pattern adjacent to the character buffer of the first data bridge structure; and a verifying module to verify that the boundary data pattern is adjacent to the character buffer of a second data bridge structure that is received from the second set of computer code.",15,claim 15,0,B
10606799,17,"17. The system of claim 15 , further comprising: a placing module to place a boundary data pattern adjacent to the data buffer of the first data bridge structure that is received from the first set of computer code; and a verifying module to verify that the boundary data pattern is adjacent to the data buffer of a second data bridge structure that is received from the second set of computer code.",16,claim 15,0,B
10606799,18,"18. A computer implemented method for transferring data between computer language layers, the method comprising: receiving data in different formats from a plurality of different modules of first computer language layer that includes a first set of computer code; combining the data received from the different modules in a first data bridge structure corresponding to the first computer language layer, wherein the first data bridge structure includes a request field indicating a function to be performed for the first set of computer code by a second computer language layer that includes a second set of computer code, wherein the first and second sets of computer code use different computer languages; transforming the first data bridge structure from a first data format to a second data format that is being used by the second set of computer code; and transferring data between the first and second computer language layers by sending, to the second set of computer code, the first data bridge structure in the second data format.",17,,0,B
10606799,19,"19. The method of claim 18 , wherein the first data bridge structure includes: an argument field comprising characters designating arguments to the function indicated by the request field.",18,claim 18,0,B
10606799,20,"20. The method of claim 18 , wherein the first data bridge structure comprises: a character buffer to transfer character data between computer code and the second set of computer code; and a data buffer to transfer computer data between the first set of computer code using the first computer language layer and the second set of computer code.",19,claim 18,0,B
10606800,1,"1. A computer-implemented method for performing operations on a layered filesystem, comprising: receiving a policy for the layered filesystem, wherein system data critical to execution of a virtual computing environment is stored in at least one layer and user-specific data associated with user changes to the virtual computing environment is stored in at least one other layer; and receiving an input/output (I/O) operation involving a file, wherein at least two different versions of the file having different contents exist on two or more layers of the layered filesystem, wherein the at least two different versions of the file are associated with the same user; wherein the policy is used to maintain separation between the system data and user-specific data in the virtual computer environment.",0,,1,B
10606800,2,"2. The computer-implemented method of claim 1 , wherein the policy comprises the set of layer assignments, and wherein said directing comprises determining a layer assignment that matches the I/O operation.",1,claim 1,0,B
10606800,3,"3. The computer-implemented method of claim 2 , wherein said determining involves matching a path specified in the set of layer assignments with a path specified in the I/O operation.",2,claim 2,0,B
10606800,4,"4. The computer-implemented method of claim 2 , wherein said determining involves matching a filename extension specified in the set of layer assignments with a filename extension specified in the I/O operation.",3,claim 2,0,B
10606800,5,"5. The computer-implemented method of claim 2 , wherein said determining involves matching a registry key specified in the set of layer assignments with a registry key specified in the I/O operation.",4,claim 2,0,B
10606800,6,"6. The computer-implemented method of claim 2 , wherein if no layer assignment matches the I/O operation, said directing comprises directing the I/O operation to a default layer.",5,claim 2,0,B
10606800,7,"7. A non-transitory computer-readable storage medium storing instructions that, when executed by a computer, cause the computer to perform a method for performing operations on a layered filesystem, the method comprising: receiving a policy for the layered filesystem, wherein system data critical to execution of a virtual computing environment is stored in at least one layer and user-specific data associated with user changes to the virtual computing environment is stored in at least one other layer; and receiving an input/output (I/O) operation involving a file, wherein at least two different versions of the file having different contents exist on two or more layers of the layered filesystem, wherein the at least two different versions of the file are associated with the same user; wherein the policy is used to maintain separation between the system data and the user-specific data in the virtual computer environment.",6,,0,B
10606800,8,"8. The non-transitory computer-readable storage medium of claim 7 , wherein the policy comprises the set of layer assignments, and wherein said directing comprises determining a layer assignment that matches the I/O operation.",7,claim 7,0,B
10606800,9,"9. The non-transitory computer-readable storage medium of claim 8 , wherein said determining involves matching a path specified in the set of layer assignments with a path specified in the I/O operation.",8,claim 8,0,B
10606800,10,"10. The non-transitory computer-readable storage medium of claim 8 , wherein said determining involves matching a filename extension specified in the set of layer assignments with a filename extension specified in the I/O operation.",9,claim 8,0,B
10606800,11,"11. The non-transitory computer-readable storage medium of claim 8 , wherein said determining involves matching a registry key specified in the set of layer assignments with a registry key specified in the I/O operation.",10,claim 8,0,B
10606800,12,"12. The non-transitory computer-readable storage medium of claim 8 , wherein if no layer assignment matches the I/O operation, said directing comprises directing the I/O operation to a default layer.",11,claim 8,0,B
10606800,13,"13. A computer system, comprising: a processor; and a memory storing instructions that, when executed by the processor, cause the computer system to: receive a policy for the layered filesystem, wherein system data critical to execution of a virtual computing environment is stored in at least one layer and user-specific data associated with user changes to the virtual computing environment is stored in at least one other layer; and receive an input/output (I/O) operation involving a file, wherein at least two different versions of the file have different contents exist on two or more layers of the layered filesystem, wherein the at least two different versions of the file are associated with the same user; wherein the policy is used to maintain separation between the system data and the user-specific data in the virtual computer environment.",12,,0,B
10606800,14,"14. The computer system of claim 13 , wherein the policy comprises the set of layer assignments, and wherein said computer system determines a layer assignment that matches the I/O operation.",13,claim 13,0,B
10606800,15,"15. The computer system of claim 14 , wherein said determines involves a match of a path specified in the set of layer assignments with a path specified in the I/O operation.",14,claim 14,0,B
10606800,16,"16. The computer system of claim 14 , wherein said determines involves a match of a filename extension specified in the set of layer assignments with a filename extension specified in the I/O operation.",15,claim 14,0,B
10606800,17,"17. The computer system of claim 14 , wherein said determines involves a match of a registry key specified in the set of layer assignments with a registry key specified in the I/O operation.",16,claim 14,0,B
10606800,18,"18. The computer system of claim 14 , wherein if no layer assignment matches the I/O operation, said computer system directs the I/O operation to a default layer.",17,claim 14,0,B
10606800,19,"19. A computer-implemented method for performing operations on a layered registry system, comprising: receiving a policy for the layered registry system, wherein the policy comprises a set of layer assignments, wherein system data critical to execution of a virtual computing environment is stored in at least one layer and user-specific data associated with user changes to the virtual computing environment is stored in at least one other layer; receiving an input/output (I/O) operation that specifies a registry key, wherein at least two different versions of the registry key having different contents exist on two or more layers of the layered registry system, wherein the at least two different versions of the registry key are associated with the same user; and determining a layer assignment that matches the I/O operation, wherein said determining involves matching a registry key specified in the set of layer assignments with the registry key specified in the I/O operation; wherein the policy is used to maintain separation between system data and the user-specific data in the virtual computer environment.",18,,0,B
10606800,20,"20. The computer-implemented method of claim 19 further comprising: generating another I/O operation based on the received I/O operation; directing the generated I/O operation to a layer in the layered filesystem, wherein the received I/O operation and the generated I/O operation are different; and temporarily disabling at least a layer in the layered filesystem, thereby facilitating management of the virtual computing environment, wherein each layer in the layered filesystem comprises at least a component of the virtual computing environment.",19,claim 19,0,B
10606801,1,"1. A method of requesting information from a server, the method being implemented by one or more processors configured to execute instructions, which, when executed, cause the one or more processors to: send, by a client to a server, a hypertext transfer protocol (HTTP) GET request to retrieve at least a portion of at least one derived data file, wherein the at least one derived data file is dynamically generated by the server in response to the request using a data file virtualization policy and at least a portion of a data file, the data file virtualization policy and the data file being stored in a storage accessible by the server, and wherein the dynamic generation comprises an aligned unbuffered direct read operation from the stored data file of a data size that is aligned to an integer multiple of the storage's block size; and receive, by the client from the server, at least the portion of the at least one derived data file.",0,,1,B
10606801,2,"2. The method according to claim 1 , wherein the stored data file is stored in the storage among one or more other data files, the stored data file and the one or more other data files being of a same type, and wherein the at least one derived data file is not stored in the storage.",1,claim 1,0,B
10606801,3,"3. The method according to claim 2 , wherein the data file virtualization policy is associated in a one-to-many relationship with the stored data file and the one or more other data files.",2,claim 2,0,B
10606801,4,"4. The method according to claim 1 , wherein the one or more processors are further caused to: send, by the client to the server, a request for a list of supported derived data types and a list of supported parameters for each of the supported derived data types, wherein the parameters allow a client to control an output of the at least one derived data file; receive, by the client from the server, the list of supported parameters; and send, by the client, an intent to request data of at least a subset of the supported derived data types.",3,claim 1,0,B
10606801,5,"5. The method according to claim 1 , wherein the data file virtualization policy comprises: a name of the stored data file, a data type of the stored data file, a Boolean flag set to either True or False, True indicating an intent of the client to request for derived data, and a list of derived data types that the client intends to retrieve.",4,claim 1,0,B
10606801,6,"6. The method according to claim 5 , wherein the at least one derived data file comprises a plurality of dynamically generated derived data files, a number of the plurality of derived data files being based on the intent of the client to retrieve them.",5,claim 5,0,B
10606801,7,"7. The method according to claim 1 , wherein the stored data file comprises Wide-Area Motion Imagery (WAMI) data, a type of the stored data file being a WAMI Frame.",6,claim 1,0,B
10606801,8,"8. The method according to claim 1 , wherein the one or more processors are further caused to: send, by the client to the server, a request for a list of supported derived data types; receive, by the client, the list of supported derived data types; and generate, by the client, the data file virtualization policy using the list of supported derived data types.",7,claim 1,0,B
10606801,9,"9. The method according to claim 1 , wherein the at least one derived data file is listed in a directory listing generated by the server, and wherein the directory listing is accessible to the client such that the at least one derived data file is presented to the client as if the at least one derived data file is stored in the storage.",8,claim 1,0,B
10606801,10,"10. The method according to claim 9 , wherein the one or more processors are further caused to: send, by the client to the server, an HTTP 1.1 WebDAV PROPFIND request for the directory listing.",9,claim 9,0,B
10606801,11,"11. A system, comprising: a client computer system comprising one or more processors and a network connection to a server computer system, the client computer system being configured to: send, to a server computer system, a hypertext transfer protocol (HTTP) GET request to retrieve at least a portion of at least one derived data file, wherein the at least one derived data file is dynamically generated by the server computer system in response to the request using a data file virtualization policy and at least a portion of a data file, the data file virtualization policy and the data file being stored in a storage accessible by the server computer system, and wherein the dynamic generation comprises an aligned unbuffered direct read operation from the stored data file of a data size that is aligned to an integer multiple of the storage's block size; and receive, from the server computer system, at least the portion of the at least one derived data file.",10,,0,B
10606801,12,"12. The system according to claim 11 , wherein the stored data file is stored in the storage among one or more other data files, the stored data file and the one or more other data files being of a same type, and wherein the at least one derived data file is not stored in the storage.",11,claim 11,0,B
10606801,13,"13. The system according to claim 12 , wherein the data file virtualization policy is associated in a one-to-many relationship with the stored data file and the one or more other data files.",12,claim 12,0,B
10606801,14,"14. The system according to claim 11 , wherein the client computer system is further configured to: send, to the server computer system, a request for a list of supported derived data types and a list of supported parameters for each of the supported derived data types, wherein the parameters allow a client to control an output of the at least one derived data file; receive, from the server computer system, the list of supported parameters; and send an intent to request data of at least a subset of the supported derived data types.",13,claim 11,0,B
10606801,15,"15. The system according to claim 11 , wherein the data file virtualization policy comprises: a name of the stored data file, a data type of the stored data file, a Boolean flag set to either True or False, True indicating an intent of the client computer system to request for derived data, and a list of derived data types that the client computer system intends to retrieve.",14,claim 11,0,B
10606801,16,"16. The system according to claim 15 , wherein the at least one derived data file comprises a plurality of dynamically generated derived data files, a number of the plurality of derived data files being based on the intent of the client computer system to retrieve them.",15,claim 15,0,B
10606801,17,"17. The system according to claim 11 , wherein the stored data file comprises Wide-Area Motion Imagery (WAMI) data, a type of the stored data file being a WAMI Frame.",16,claim 11,0,B
10606801,18,"18. The system according to claim 11 , wherein the client computer system is further configured to: send, to the server computer system, a request for a list of supported derived data types; receive the list of supported derived data types; and generate the data file virtualization policy using the list of supported derived data types.",17,claim 11,0,B
10606801,19,"19. The system according to claim 11 , wherein the at least one derived data file is listed in a directory listing generated by the server computer system, and wherein the directory listing is accessible to the client computer system such that the at least one derived data file is presented to the client computer system as if the at least one derived data file is stored in the storage.",18,claim 11,0,B
10606801,20,"20. The system according to claim 19 , wherein the client computer system is further configured to: send, to the server computer system, an HTTP 1.1 WebDAV PROPFIND request for the directory listing.",19,claim 19,0,B
10606802,1,"1. A computer-implemented method, comprising: intercepting one or more updates made to a catalog data set, where: each of the one or more updates includes a system management facility (SMF) record, and the one or more updates are intercepted utilizing a program hook that retrieves the one or more updates from an SMF Exit routine; storing the one or more updates sequentially within an update buffer; retrieving the one or more updates from the update buffer, including sequentially reading the one or more updates from the update buffer; sequentially applying the one or more updates to a backup catalog data set, the backup catalog data set including a logically mirrored copy of a catalog data set; identifying a request to replace the catalog data set; and replacing the catalog data set with the backup catalog data set, in response to the request including: scanning the backup catalog data set to confirm an integrity of the backup catalog data set, in response to a confirmation of the integrity of the backup catalog data set, modifying one or more control blocks within a catalog address space of a mainframe computing system to change references from the catalog data set to the backup catalog data set; wherein replacing the catalog data set with the backup catalog data set utilizes a dynamic device reconfiguration (DDR) Swap interface for mirrored volume switching to direct updates to the backup catalog data set.",0,,1,B
10606802,2,"2. The computer-implemented method of claim 1 , wherein the catalog data includes a plurality of basic catalog structure (BCS) catalogs within the mainframe computing system.",1,claim 1,0,B
10606802,3,"3. The computer-implemented method of claim 1 , wherein the catalog data set includes a set of files used by the mainframe computing system to describe one or more data set attributes and indicate volumes on which a data set is located, the data set including a set of data that is used by an application.",2,claim 1,0,B
10606802,4,"4. The computer-implemented method of claim 1 , wherein the SMF record includes an insert action recorded in a 61 type.",3,claim 1,0,B
10606802,5,"5. The computer-implemented method of claim 1 , wherein the SMF record includes a delete action recorded in a 65 type.",4,claim 1,0,B
10606802,6,"6. The computer-implemented method of claim 1 , wherein the SMF record includes an alter action recorded in a 66 type.",5,claim 1,0,B
10606802,7,"7. The computer-implemented method of claim 1 , wherein the request to replace the catalog data set is sent in response to a determination that the catalog data set is not available or is corrupt.",6,claim 1,0,B
10606802,8,"8. The computer-implemented method of claim 1 , wherein: the catalog data includes a plurality of basic catalog structure (BCS) catalogs within the mainframe computing system, the catalog data set includes a set of files used by the mainframe computing system to describe one or more data set attributes and indicate volumes on which a data set is located, the data set including a set of data that is used by an application, the request to replace the catalog data set is sent in response to a determination that the catalog data set is not available or is corrupt, and the SMF record includes an insert action recorded in a 61 type.",7,claim 1,0,B
10606802,9,"9. A computer program product for catalog backup and recovery using logical mirroring, the computer program product comprising a computer readable storage medium having program instructions embodied therewith, wherein the computer readable storage medium is not a transitory signal per se, the program instructions executable by a processor to cause the processor to perform a method comprising: intercepting one or more updates made to a catalog data set, utilizing the processor, where: each of the one or more updates includes a system management facility (SMF) record, and the one or more updates are intercepted utilizing a program hook that retrieves the one or more updates from an SMF Exit routine; storing the one or more updates sequentially within an update buffer, utilizing the processor; retrieving the one or more updates from the update buffer, utilizing the processor including sequentially reading the one or more updates from the update buffer; sequentially applying the one or more updates to a backup catalog data set, utilizing the processor, the backup catalog data set including a logically mirrored copy of a catalog data set; identifying a request to replace the catalog data set, utilizing the processor; and replacing the catalog data set with the backup catalog data set, in response to the request, utilizing the processor, including: scanning the backup catalog data set to confirm an integrity of the backup catalog data set, in response to a confirmation of the integrity of the backup catalog data set, modifying one or more control blocks within a catalog address space of a mainframe computing system to change references from the catalog data set to the backup catalog data set; wherein replacing the catalog data set with the backup catalog data set utilizes a dynamic device reconfiguration (DDR) Swap interface for mirrored volume switching to direct updates to the backup catalog data set.",8,,0,B
10606802,10,"10. The computer program product of claim 9 , wherein the catalog data includes a plurality of basic catalog structure (BCS) catalogs within the mainframe computing system.",9,claim 9,0,B
10606802,11,"11. The computer program product of claim 9 , wherein the catalog data set includes a set of files used by the mainframe computing system to describe one or more data set attributes and indicate volumes on which a data set is located, the data set including a set of data that is used by an application.",10,claim 9,0,B
10606802,12,"12. The computer program product of claim 9 , wherein the SMF record includes an insert action recorded in a 61 type.",11,claim 9,0,B
10606802,13,"13. The computer program product of claim 9 , wherein the SMF record includes a delete action recorded in a 65 type.",12,claim 9,0,B
10606802,14,"14. The computer program product of claim 9 , wherein the SMF record includes an alter action recorded in a 66 type.",13,claim 9,0,B
10606802,15,"15. The computer program product of claim 9 , wherein the request to replace the catalog data set is sent in response to a determination that the catalog data set is not available or is corrupt.",14,claim 9,0,B
10606802,16,"16. The computer program product of claim 9 , wherein: the catalog data includes a plurality of basic catalog structure (BCS) catalogs within a mainframe computing system, the catalog data set includes a set of files used by the mainframe computing system to describe one or more data set attributes and indicate volumes on which a data set is located, the data set including a set of data that is used by an application, the request to replace the catalog data set is sent in response to a determination that the catalog data set is not available or is corrupt, and the SMF record includes an insert action recorded in a 61 type.",15,claim 9,0,B
10606802,17,"17. A system, comprising: a processor; and logic integrated with the processor, executable by the processor, or integrated with and executable by the processor, the logic being configured to: intercept one or more updates made to a catalog data set, where: each of the one or more updates includes a system management facility (SMF) record, and the one or more updates are intercepted utilizing a program hook that retrieves the one or more updates from an SMF Exit routine; store the one or more updates sequentially within an update buffer; retrieve the one or more updates from the update buffer, including sequentially reading the one or more updates from the update buffer; sequentially apply the one or more updates to a backup catalog data set, the backup catalog data set including a logically mirrored copy of a catalog data set; identify a request to replace the catalog data set; and replace the catalog data set with the backup catalog data set, in response to the request including: scanning the backup catalog data set to confirm an integrity of the backup catalog data set, in response to a confirmation of the integrity of the backup catalog data set, modifying one or more control blocks within a catalog address space of a mainframe computing system to change references from the catalog data set to the backup catalog data set; wherein replacing the catalog data set with the backup catalog data set utilizes a dynamic device reconfiguration (DDR) Swap interface for mirrored volume switching to direct updates to the backup catalog data set.",16,,0,B
10606803,1,"1. A computer program product comprising: a non-transitory computer readable storage medium retaining program instructions for implementing a file system, wherein content of an object of the file system is retained in data units, a portion of the data units stored at a persistent memory that stores the file system, wherein the object is represented by a tree structure stored at the persistent memory with tree nodes and leaf nodes, the file system mapped to an address space of the persistent memory to directly access the tree structure and the portion of the data units; wherein each tree node points to another node of the tree structure and one of the leaf nodes points to at least one data unit used to retain content for the object; wherein the file system utilizes a volatile resource usage collection and volatile reference counters for tracking usage of each node of the tree structure; wherein said program instructions when executed by a processor, cause the processor to: in response to mounting the file system, scan the mapped address space of the persistent memory retaining file system metadata to compile the volatile resource usage collection indicating data units that are available for use and data units that are allocated by the file system to store content for the object, and the volatile reference counters associated with each used node of the tree structure indicating a number of nodes that reference each used node; and in response to a determination to reuse a pointed node of the tree structure by a pointing node: update a volatile reference counter of the pointed node in a single instruction without a lock; upon update of the volatile reference counter of the pointed node, atomically set, using a single instruction to point to the pointed node by the pointing node, without employing a lock and without using a transaction log by the file system; and free a node of the tree structure based on the reuse.",0,,1,B
