,username,followers,following,work_raw,education_raw
645,@leftwardio,0,2,,
646,@kumi,2,3,"Creative, Blogging, Data",
647,@christianpugliese,1,2,Software Dev,
648,@flexrs,5,16,"Web Dev, UI/UX Design, Startup Founder, Creative",
649,@timhc22,25,71,Web Dev,
650,@chrisschwarz,2,3,,
651,@adrianartiles,3,3,Startup Founder,
652,@nomadicpad,16,25,,
653,@willows_gate,10,15,"Web Dev, UI/UX Design",
654,@nidalaa,5,2,,
655,@angelicism,33,15,,
656,@sofiameli,16,22,,
657,@petermitchelln,2,9,,
658,@feralpacket,3,3,,
659,@spillere,13,27,"Web Dev, Software Dev, Startup Founder, SaaS","High School, Bachelor's Degree, Master's Degree"
660,@steph_danforth,38,18,"UI/UX Design, Creative, Ecommerce",High School
661,@dylanofmoore,3,3,"Mobile Dev, Startup Founder",
662,@ellen,29,29,,
663,@legomyeggo,2,1,Web Dev,
664,@simonc,6,4,,
665,@matthomer,6,10,,
666,@darep,7,10,,
667,@ctotheameron,10,11,,
668,@hugo55,2,4,,
669,@lopesrosanna,58,68,"Startup Founder, Marketing",
670,@petrnovak,8,6,UI/UX Design,
671,@dapitts08,8,8,,
672,@wanderingdev,68,33,"Web Dev, Software Dev, Product Manager",
673,@largo,14,16,,
674,@jpnarowski,1,3,Startup Founder,
675,@davidmasciorini,2,3,,
676,@travlindicator,15,45,"Startup Founder, Data",
677,@yujin,0,1,,
678,@simone_scarduzio,31,37,"Software Dev, Startup Founder, Finance, Data, Sales, Ecommerce, SaaS, Sports",Bachelor's Degree
679,@jesperbylund,21,28,,
680,@hpeikemo,11,9,Startup Founder,
681,@haiko,23,26,Startup Founder,
682,@furkan,6,4,,
683,@jxodwyer,3,7,,
684,@tjwaldorf,12,11,Startup Founder,
685,@omarmohameddev,3,24,Mobile Dev,
686,@gillesm,7,3,,
687,@valfrancisco14,5,4,Software Dev,
688,@adomasb,9,6,"Startup Founder, Sales",
689,@offshore,4,2,,
690,@sanna,2,5,,
691,@wwartsnews,0,3,,
692,@kaissi,7,8,,
693,@simonplend,4,2,,
694,@stefan,2,1,Software Dev,
695,@taras,2,9,,
696,@adasnomad,2,3,,
697,@dv346,0,2,,
698,@ltsadvntr,1,1,,
699,@annasap,9,4,,
700,@amit29,1,3,Startup Founder,
701,@nathanfulkerson,4,20,Mobile Dev,
702,@joshnicholas,4,10,,
703,@drh,6,2,Software Dev,
704,@marko,4,18,Startup Founder,
705,@pb,0,1,,
706,@annececilie,0,1,,
707,@rmeskill,0,1,,
708,@minkylive,5,6,,
709,@reboramuriel,1,3,,
710,@doweig,13,7,,
711,@lev,4,6,,
712,@douglascorrea,5,20,Startup Founder,
713,@dirtandrust,8,3,"Web Dev, Marketing",
714,@jackolai,16,37,Startup Founder,
715,@elliotsachs,3,11,Startup Founder,
716,@corytitus,5,7,,
717,@brian_dawn,0,2,,
718,@antoinebm,4,1,,
719,@nickbrooks,3,3,Web Dev,
720,@flaki,22,17,Community,
721,@mentisdominus,2,2,,
722,@wernerhoffmann,3,3,"Software Dev, Startup Founder",
723,@ryanthegiantlion,5,2,,
724,@jasonkd,3,3,Marketing,
725,@nicolepoor,1,3,,
726,@nickpellant,6,2,"Web Dev, Software Dev, Crypto",
727,@callumstyan,6,3,,
728,@paske57,0,1,,
729,@petracca,13,13,Startup Founder,
730,@hilary,4,2,,
731,@iansen,0,1,,
732,@abens,0,2,,
733,@smokeydokes,12,8,,
734,@wangyegp,1,6,,
735,@woutervr,8,15,,
736,@tamerkoseli,3,4,,
737,@zeljkocelikovic,1,4,,
738,@brendannee,2,4,,
739,@aronbury,5,4,,
740,@thewinevagabond,8,6,,
741,@agammell,3,6,,
742,@danbelltweet,0,1,,
743,@sharon,36,17,,
744,@loukman,10,18,,
745,@cesartzian,4,4,"Startup Founder, Community, Marketing",
746,@jakegibson,2,3,Startup Founder,
747,@robertkowalski,8,7,,
748,@rynesweeney,2,3,,
749,@kalakuo,4,14,,
750,@vladepap,4,5,,
751,@ellis_adam,0,2,,
752,@markentreibstoff,4,4,"Startup Founder, Fitness",
753,@tucksville,0,2,,
754,@andrewlinfoot,5,10,Startup Founder,
755,@madhukaraphatak,0,1,Data,
756,@thinkingsimon,0,2,,
757,@vadimrezvy,2,7,,
758,@movements_org,7,2,,
759,@ieatsalot,14,16,Crypto,
760,@hannibalalpes,1,1,,
761,@rebeccacbowden,10,17,"Startup Founder, Marketing",
762,@digitaldima,0,1,,
763,@bjornftw,11,9,"Web Dev, Mobile Dev, UI/UX Design, Startup Founder, Finance, Creative, Support",Bachelor's Degree
764,@abinashkumar013,0,1,,
765,@richietdesign,1,1,,
766,@ryzmen,4,4,,
767,@latinwriter,2,1,,
768,@suni349,1,1,Software Dev,
769,@mayahub_org,1,2,Startup Founder,
770,@tclonn2,0,1,,
771,@burner_rr,1,1,,
772,@kl_hoppers,1,1,,
773,@elvisbenkovic,0,1,,
774,@dirceo,3,1,,
775,@styxali,4,8,,
776,@peterssonsnar,1,1,,
777,@guifrombcn,4,4,"Startup Founder, Marketing",
778,@giotrotto,3,2,Marketing,
779,@lilidaniel,2,1,,
780,@goatlady,2,2,,
781,@jurajkejs,3,1,,
782,@caophucnhat,1,1,,
783,@alexis_sindicic,2,2,"Startup Founder, Marketing",
784,@work_and_home,8,9,,
785,@ckomagan,10,11,"Startup Founder, Product Manager",
786,@skotchasee,0,1,,
787,@fearless_shweta,2,5,,
788,@abepetrillo,3,1,,
789,@sub2a,0,1,,
790,@trav_real,1,1,,
791,@jamesldamico,5,21,"Data, Marketing, Sales",
792,@violetia13,0,1,,
793,@semichinalex,1,3,Startup Founder,
794,@zerocraic,1,1,,
795,@sonnysuberu,1,1,,
796,@pros22su,2,3,Web Dev,
797,@kelciocajueiro,1,1,,
798,@ejang,7,4,Startup Founder,
799,@stackptr,1,1,,
800,@robertniimi,1,1,,
801,@hussamelemmawi,1,2,Mobile Dev,
802,@squirrelygirl,2,1,,
803,@zhurbinchik,2,1,Web Dev,Master's Degree
804,@alexeevs,4,6,,
805,@tommypalm,9,9,,
806,@darrillaga,1,1,,
807,@ar4mirez,1,3,,
808,@wells_b,0,1,,
809,@mattmc21,0,1,,
810,@guillelekos,1,1,,
811,@oitozero,9,24,,
812,@el_diegors,2,6,,
813,@aerenato,1,3,,
814,@arreechung,1,2,"Startup Founder, Creative",
815,@anakova47,5,3,,
816,@cava_kantur,0,5,,
817,@whatdontyou,0,1,,
818,@lionelc54,1,3,,
819,@jeditweets,1,3,Software Dev,
820,@apie,0,2,,
821,@fikretbekler,1,1,,
822,@isaac_almanzaj,10,61,,
823,@wsilva526,2,1,,
824,@josephmitchell,0,1,,
825,@andrewkalek,0,1,,
826,@chrissy_lew,0,1,,
827,@seekthecreative,2,1,,
828,@pdworznik,0,1,,
829,@quwoado7s3m8d5a,0,2,,
830,@reydisutandang,2,2,Startup Founder,
831,@mikejcarton,5,8,"Web Dev, Creative, Coach",
832,@nico_lrx,27,154,"Web Dev, Startup Founder, Marketing, SaaS",Master's Degree
833,@wlaurance,16,31,,
834,@winducan,0,1,,
835,@gastonj88,0,1,,
836,@jerigoround,1,2,,
837,@tombuildsstuff,10,8,,
838,@biogenic1,0,1,,
839,@chewx,4,4,,
840,@magnificent17,0,1,,
841,@bohdanbidak,0,1,,
842,@sirikor38331758,1,1,,
843,@benhourigan,3,4,,
844,@juliakhusainova,33,6,,
845,@c_hylland,3,2,Education,
846,@ipaintcode,9,5,,
847,@larissamagno,0,1,,
848,@scottwpalmer,0,2,Startup Founder,
849,@davpires,14,8,Marketing,
850,@odlaner90,0,3,,
851,@maimlkh,0,1,,
852,@s_tigmatized,0,1,,
853,@antoinemeyer,0,1,,
854,@eugeniqa,2,2,,
855,@zagomatteogian,7,5,Startup Founder,
856,@subsire,0,1,,
857,@edgarascom,3,5,UI/UX Design,
858,@startupmanifest,0,1,"Startup Founder, Support",
859,@paykhan,1,4,Software Dev,
860,@vit_lastovka,3,2,,
861,@coworkingnomad,0,1,,
862,@dragosnm,0,5,Mobile Dev,
863,@nomadcitylpa,40,51,Startup Founder,
864,@jogomartin,2,3,Startup Founder,
865,@thegreenwildp,0,1,,
866,@rledreau,2,1,Startup Founder,
867,@howmanynames,0,1,,
868,@luluisland,4,5,"Startup Founder, Product Manager",
869,@pavelrybako,0,1,,
870,@axshu,0,1,,
871,@agnetzia,0,2,,
872,@katenelson177,2,1,,
873,@rotemesunday1,4,4,,
874,@simplycrazyp,0,5,"Community, Marketing",
875,@panetes,0,1,Startup Founder,
876,@rckstrrealtoraz,0,1,,
877,@ribeiroguto1798,1,1,,
878,@jehmitchioli,0,1,,
879,@chafullstack,1,8,"Community, Marketing",
880,@mejohnsonjr,1,5,Marketing,
881,@nachex404,1,1,,
882,@saramr15,0,2,,
883,@5ee8688fa7e64c5,0,1,,
884,@activadesign,0,1,Support,
885,@jonascoenen,7,5,Startup Founder,
886,@daniel_tidmas,2,3,,
887,@lopespector,0,1,,
888,@cliffton_f,0,1,,
889,@individual8,8,3,,
890,@aungthiha3,3,1,,
891,@far0s,14,12,"Web Dev, UI/UX Design",Master's Degree
892,@mikeric,1,3,Software Dev,
893,@djdroogie,1,2,,
894,@ronsuez,3,2,Web Dev,
895,@perhakansson,15,4,,
896,@ahmedsamirr3,0,1,,
897,@stephsanderson,1,2,Startup Founder,
898,@zirinisp,2,3,,
899,@weeckhout,0,1,,
900,@gbasgaard,7,7,,
901,@aileencgn,18,10,Web Dev,
902,@adtrade_io,0,1,,
903,@laidyv2008,0,1,,
904,@pitah604,0,3,Startup Founder,
905,@tonyschmidt,8,17,"Web Dev, Software Dev",
906,@cookiewhirls,8,9,"Startup Founder, Education, Fitness, Marketing, Sales, Sports",
907,@jennaaaye,3,9,,
908,@msimm_offenburg,1,1,"Journalism, Blogging",
909,@travelfrogmd,2,2,,
910,@webdew,1,4,Startup Founder,
911,@bmapilot,0,2,,
912,@kinolina,6,14,Web Dev,
913,@jeroldday,4,2,Software Dev,
914,@szkingiii,2,2,,
915,@soupdiver,10,11,,
916,@judychangs,1,3,,
917,@stevensanseau,6,8,,
918,@streetcredfred,3,2,,
919,@andrewdhobbs,3,1,,
920,@tim_gardner,4,5,Startup Founder,
921,@breathingpoet,5,6,,
922,@serranoarevalo,6,2,,
923,@nevmerzhitsky,1,1,,
924,@slainewilley,0,1,,
925,@jamestolf,7,11,,
926,@yunhuangma,0,2,,
927,@fezvrasta,21,13,,
928,@fuerterisameda,1,2,,
929,@cristenger,3,4,,
930,@bob_silvey,5,5,,
931,@danieldcn,1,2,,
932,@_ryan_bartley_,3,1,Marketing,
933,@harpermind,7,2,,
934,@danielletdesign,1,1,"UI/UX Design, Education",Bachelor's Degree
935,@jlipovsky,2,4,Mobile Dev,
936,@chroman,6,11,Mobile Dev,
937,@hazelyuyang,4,13,UI/UX Design,
938,@tom_dallimore,4,2,Startup Founder,
939,@perzegov,1,2,Marketing,
940,@aluzgabriel,1,9,,
941,@mehmetulga,1,2,,
942,@ggt86,0,1,,
943,@hegaveitallup,0,1,,
944,@matyiii_,1,2,,
945,@davidsmandrade,1,4,,
946,@dij_plz,7,9,Game Dev,
947,@marovturban,0,3,,
948,@kelonye,5,17,,
949,@mdnmadan,1,2,Software Dev,
950,@madebyg,3,3,,
951,@thegreatsabri,5,6,,
952,@eliaz,0,2,,
953,@adriancardo,4,5,,
954,@bishal_ghimire,3,6,,
955,@sauerlo,2,1,,
956,@j_nomadedigital,1,4,,
957,@themadarch,7,9,UI/UX Design,
958,@jagira,1,4,,
959,@aviatorfred,1,5,,
960,@bodaandroid,2,11,Software Dev,
961,@jendienst,4,3,,
962,@anilca,2,1,,
963,@maesemalek,0,2,,
964,@owlandrews,1,2,,
965,@gogl92,2,2,,
966,@huangfuyafei,2,4,,
967,@mindofsari,1,1,"Startup Founder, Marketing",
968,@jaymierosen,6,12,,
969,@yliasm,4,24,"UI/UX Design, Startup Founder, Marketing",Master's Degree
970,@sup,4,9,"Web Dev, Crypto, Creative, Blogging, Marketing",High School
971,@demoonkevin,1,5,,
972,@rpodyssey,9,5,,
973,@geomancer86,0,1,,
974,@markosulamagi,0,1,,
975,@thesmmile,9,9,Marketing,
976,@emilyahaag,0,2,,
977,@sunnysided87928,0,2,,
978,@mukut,5,7,,
979,@ddpelayo,4,10,Startup Founder,
980,@andreasrnnhanse,0,1,,
981,@medelon,2,1,,
982,@michellemaltbia,1,2,Web Dev,
983,@futurefallout,15,50,,
984,@melvinhoyk,3,8,,
985,@lkmfz,1,3,,
986,@sapiha,1,1,,
987,@blombergvictor,13,34,"Web Dev, UI/UX Design, Startup Founder",
988,@wilczynski_a,4,5,Mobile Dev,
989,@eulerianial,4,2,Startup Founder,
990,@anyalake,2,2,,
991,@asgued,7,8,,
992,@johnny5feels,8,5,Startup Founder,
993,@scotu,6,7,,
994,@timchardme,6,9,Marketing,
995,@isservan,2,5,,
996,@cheeaun,36,63,,
997,@dotolo2,3,12,,
998,@connor_baer,7,16,Web Dev,High School
999,@ajpanghulan,3,7,,
1000,@thekitze,95,20,,
1001,@flowdee,9,8,"Web Dev, Software Dev, Mobile Dev, Startup Founder, Finance, Product Manager, Blogging, Fitness, Marketing, Ecommerce, SaaS, Sports",Bachelor's Degree
1002,@luke_moa,0,1,,
1003,@anitastamova,0,2,,
1004,@nomadc_lucy,2,13,,
1005,@flaviokreis,0,1,,
1006,@nomadc_anna,1,2,"Mobile Dev, Startup Founder",
1007,@tibzback,26,27,"Community, Marketing",Bachelor's Degree
1008,@argovaerts,4,15,,
1009,@andykassier,5,6,"Software Dev, Startup Founder, Crypto, Creative, Marketing, Ecommerce","Bachelor's Degree, Master's Degree"
1010,@jvtrigueros,3,2,,
1011,@ladyleet,79,29,Startup Founder,
1012,@tgurvicius,5,6,,
1013,@dnlhtz,6,10,Startup Founder,
1014,@stormfarrell,5,5,,
1015,@sdrth_,8,14,"Startup Founder, Marketing",
1016,@hakimelekk,3,10,,
1017,@sarahpeterson,32,5,,
1018,@creativewang,10,24,VR Dev,
1019,@deensel,6,2,,
1020,@mtjdotcom,5,6,Data,
1021,@harrisroberts,12,21,,
1022,@albertbcn,0,10,,
1023,@gustavbraga,0,2,,
1024,@vaverava,1,3,,
1025,@stephanie_dxb,14,32,"Game Dev, Startup Founder",
1026,@davidmurray,2,4,"Startup Founder, Finance, Creative, Law",
1027,@bryanadkison,0,1,,
1028,@breinkind,1,2,,
1029,@nguyen_zick,1,1,,
1030,@luongj,5,2,,
1031,@boogich,0,1,,
1032,@tribespeople,12,11,"Startup Founder, Community",
1033,@jolly,17,10,,
1034,@heyellecp,7,19,Startup Founder,
1035,@ctsygiel,2,2,Startup Founder,
1036,@debris,11,10,,
1037,@geoffcrasher,0,6,,
1038,@wataru,2,6,,
1039,@magnuspaaske,21,15,"Software Dev, Startup Founder",
1040,@abhishek77in,2,4,,
1041,@halles,10,18,"Software Dev, Startup Founder",
1042,@trwiley,1,1,,
1043,@bradfordstorti,0,1,,
1044,@unicorndigital,2,1,,
1045,@namtng,1,2,,
1046,@jimbelden,0,3,,
1047,@r_y_a_n_w,0,1,,
1048,@zosiaswidlicka,2,4,,
1049,@xiufensilver,40,16,,
1050,@klein_stephane,5,14,"Web Dev, Software Dev",
1051,@netbe,5,6,Mobile Dev,
1052,@matejsimek,5,5,"Web Dev, Startup Founder, Education",
1053,@nspehler,21,147,Startup Founder,
1054,@adamnowek,16,18,"Politics, Journalism, Blogging, Sports, Architecture",
1055,@jonnylroberts,1,2,,
1056,@petiepizarro,4,6,Crypto,
1057,@alex_vt,2,1,,
1058,@saraboots,1,2,,
1059,@zpeirce,5,2,Startup Founder,
1060,@jgargallo,1,3,,
1061,@sodevious,68,39,"Web Dev, UI/UX Design, Blogging",
1062,@debolux,0,1,,
1063,@ptrpavlik,10,9,Mobile Dev,
1064,@bcicen,1,1,,
1065,@cmendes0101,5,2,,
1066,@weals,4,4,Web Dev,
1067,@rkoldenhoven,0,2,,
1068,@martinqz,5,7,,
1069,@jeffermtl,1,2,,
1070,@tla,40,33,"Data, Marketing","High School, Bachelor's Degree"
1071,@jamesd,6,4,Web Dev,
1072,@aj_bombach,2,1,Software Dev,
1073,@homsweethom,28,3,,
1074,@craigcarlyle,2,4,"Web Dev, Software Dev",
1075,@kengeo,8,8,Startup Founder,
1076,@executivejoy,1,1,Startup Founder,
1077,@nomadbubble,4,4,,
1078,@chris_fong,4,6,"Startup Founder, Marketing",
1079,@ignacio_elola,3,2,Data,
1080,@piscolomo,21,15,Software Dev,
1081,@kzaaaam,14,12,Product Manager,Master's Degree
1082,@playworking,9,8,,
1083,@jasonhatesjazz,8,31,"Software Dev, Product Manager",
1084,@pixelcrash,6,6,Software Dev,
1085,@sonja,4,3,,
1086,@vince_mac,0,1,,
1087,@jantlustak,3,4,Startup Founder,
1088,@wordmonkey,0,1,,
1089,@mqt,2,19,"Web Dev, Software Dev, Mobile Dev, Crypto",Bachelor's Degree
1090,@alfredo,0,7,,
1091,@byromxyz,1,1,,
1092,@joncottonuk,4,1,Software Dev,
1093,@askleighstjohn,3,9,Coach,
1094,@mexitalian,1,4,,
1095,@c4augustus,4,2,VR Dev,
1096,@stefanfeser,6,8,,
1097,@haroldtreen,4,7,,
1098,@letalumil,3,7,"Web Dev, Software Dev, Mobile Dev, Fitness",Master's Degree
1099,@kyebrewer2012,1,2,,
1100,@naguib,2,3,,
1101,@vinzius,4,2,,
1102,@swynt,2,1,,
1103,@spruce,8,18,,
1104,@janthony,1,3,"Web Dev, Software Dev",
1105,@lizzie,1,1,Marketing,
1106,@danielletom,0,1,,
1107,@blured2000,4,7,Software Dev,
1108,@mallorymcgowan,3,2,,
1109,@kks,10,9,Marketing,
1110,@carlien,2,3,Startup Founder,
1111,@thomaspichon,3,1,Startup Founder,
1112,@adusordet,17,18,Startup Founder,
1113,@tmbeihl,1,3,,
1114,@julio,0,2,,
1115,@hattorious,13,9,"Software Dev, Data",Bachelor's Degree
1116,@basbakker,10,5,,
1117,@edlevis,0,1,,
1118,@viniciusteles,11,2,Startup Founder,
1119,@alexkim,3,2,,
1120,@sindicate6,1,1,Law,
1121,@clinton_dtl,1,1,,
1122,@tobias_brockow,3,4,,
1123,@hanselazul,1,1,,
1124,@martinb3,19,20,,
1125,@stevenyilin,4,5,,
1126,@cthulupus,0,2,,
1127,@daniel_moves,0,1,,
1128,@theodoorpater,1,2,,
1129,@yrezgui,19,16,Support,
1130,@rosslerenard,1,1,,
1131,@josh_usa,0,2,,
1132,@mikel,3,2,,
1133,@d3sire,0,1,,
1134,@andrewoons,3,4,Startup Founder,
1135,@syncreticudon,1,13,,
1136,@swedejoel,1,2,,
1137,@silasjpeterson,2,2,,
1138,@uchepete,4,2,,
1139,@ubersmile,0,1,,
1140,@farcosailas,8,24,,
1141,@adrien_gonin,5,4,,
1142,@ambrose,1,4,,
1143,@jawneeboy,0,1,,
1144,@devrando,0,3,,
1145,@erikbenjamin,3,6,"Startup Founder, Crypto, Blogging, Marketing, Sales, Support",Bachelor's Degree
1146,@magicvilleco,6,5,Startup Founder,
1147,@antoniopratas,10,15,,
1148,@jrp90,4,6,Web Dev,
1149,@dannypostma,4,10,,
1150,@antoinersx,5,4,Startup Founder,
1151,@tjwilliams,2,3,Startup Founder,
1152,@courtland,348,24,,
1153,@cnomad,3,2,,
1154,@bluebrypancakes,1,1,,
1155,@jeremyluebke,3,3,Startup Founder,
1156,@chicoxyzzy,9,6,"Web Dev, Software Dev, Community",Master's Degree
1157,@urigo,17,10,,
1158,@murillo,0,2,,
1159,@radiljancz,1,2,,
1160,@mirkatekelova,1,1,,
1161,@aleksv,1,3,,
1162,@nomadresidency,1,1,,
1163,@emmy_irl,1,2,,
1164,@lewispeckover,2,2,,
1165,@menonweb,5,8,,
1166,@jamalx31,8,13,,
1167,@lonroth,16,21,Startup Founder,
1168,@mikephilipp,2,4,,
1169,@thesleepyvegan,9,6,,
1170,@talbrown,0,2,"Product Manager, Sales",
1171,@aboundlessworld,26,32,Crypto,
1172,@nakamako,0,1,,
1173,@sharvit,0,1,"Web Dev, Software Dev, Mobile Dev",
1174,@wasabi,8,7,,
1175,@yuvalbarhai,0,1,,
1176,@tripleogisel,5,3,,
1177,@carolinesyrup,7,10,"Web Dev, Education, SaaS, Logistics",
1178,@todorovsvetlin,0,1,,
1179,@aaemnnosttv,7,7,,
1180,@coco,3,48,,
1181,@jimdabell,5,7,,
1182,@jennie_armsy,1,3,Startup Founder,
1183,@sushmit,3,14,Data,
1184,@zrski,3,5,,
1185,@nick_,0,1,,
1186,@slkra,4,3,Startup Founder,
1187,@zigor_uriarte,4,6,,
1188,@carterlized,5,6,Politics,
1189,@hollymona,0,1,,
1190,@travishdc,1,1,,
1191,@unicycle,1,2,"Web Dev, Software Dev, Mobile Dev, Crypto","High School, Bachelor's Degree"
1192,@eric_nation,4,4,Web Dev,
1193,@kam,0,3,,
1194,@rgeorgia_,59,23,,
1195,@hugobyrne,0,2,,
1196,@rumpusparable,0,1,,
1197,@kblanqua,10,8,"Startup Founder, Journalism, Blogging, Data, Marketing, Sales",
1198,@ecosuave,1,6,,
1199,@wildmolasses,5,7,Community,
1200,@jeanetwolf,1,3,"Startup Founder, Blogging",
1201,@lionsmaindc,1,2,,
1202,@vellu,2,1,,
1203,@vishal,7,8,,
1204,@bseelig,2,2,,
1205,@cathyx,2,3,,
1206,@dansafunnyman,7,4,,
1207,@carolejean,1,1,,
1208,@freddychanut,6,2,Marketing,
1209,@maila,2,4,"Software Dev, Mobile Dev, UI/UX Design",High School
1210,@julia,14,28,,
1211,@armanid27,0,1,,
1212,@jessicaguzik,11,16,Community,
1213,@jasonc,2,10,,
1214,@martingavanda,2,2,,
1215,@colinw,18,21,Web Dev,
1216,@spunkypixels,5,7,,
1217,@nat,14,13,"Web Dev, Software Dev","High School, Bachelor's Degree"
1218,@jonnaro,4,9,"Data, Fitness, Marketing, Architecture",
1219,@marcussandstrom,4,4,Startup Founder,
1220,@balibizwiz,0,1,,
1221,@adamolear,1,2,,
1222,@jeroen,4,5,,
1223,@marie,0,2,,
1224,@avinasha,8,12,Software Dev,
1225,@bc00,2,9,,
1226,@innaboch,0,1,,
1227,@darko_mijic,3,2,,
1228,@chelocoach,0,2,Coach,
1229,@vancityj,6,3,"Product Manager, Marketing",
1230,@adamgorog,0,1,Blogging,
1231,@tgrassin,3,6,Startup Founder,
1232,@emeliefagel,23,24,"Startup Founder, Creative, Journalism, Community",
1233,@norbertdragan,16,29,"UI/UX Design, Crypto",
1234,@jpalla,1,2,,
1235,@larshelg,0,1,,
1236,@markpcolgan,7,16,"Startup Founder, Marketing",
1237,@kolyo,0,1,,
1238,@seb_p,0,2,,
1239,@anashkin,0,1,,
1240,@katelevy,1,2,"Software Dev, Startup Founder",
1241,@novarideout,1,3,,
1242,@tamtamchik,3,3,"Web Dev, Software Dev",Master's Degree
1243,@langtonsp,3,4,Startup Founder,
1244,@massimo1989,0,1,,
1245,@tusabras,0,3,,
1246,@markehrich,0,1,,
1247,@zhanna,0,1,,
1248,@onesassa,0,1,,
1249,@gregl,0,1,,
1250,@ahamdan,0,1,,
1251,@accentadventure,0,1,Startup Founder,
1252,@acsaari,3,3,"Startup Founder, Marketing",
1253,@laurasawyer4,1,2,,
1254,@michaelmesserli,13,11,Web Dev,
1255,@shanemcdermed,3,1,,
1256,@hyun,4,3,,
1257,@jamesdaly90,9,23,"UI/UX Design, Startup Founder, Creative, Ecommerce",High School
1258,@mrfairweather,1,2,Startup Founder,
1259,@wanderboss,15,18,,
1260,@robinduckett,3,4,Game Dev,
1261,@skewed_corp,7,14,Software Dev,
1262,@ldirer,0,2,,
1263,@b1nary,6,3,Crypto,
1264,@speedynomads,10,6,Startup Founder,
1265,@swader,27,11,,
1266,@c_c,3,7,Creative,
1267,@ph0n33z,1,4,,
1268,@benglian,2,3,,
1269,@mary_oleksiuk,4,5,Web Dev,Bachelor's Degree
1270,@tmaximini,3,11,"Web Dev, Software Dev",
1271,@vearme,0,1,,
1272,@seriousmofo,0,1,,
1273,@sarahktrapp,6,3,"Community, Marketing",
1274,@zuzapogopl,1,2,,
1275,@airlishcom,0,1,,
1276,@ako,5,5,,
1277,@balindsieber,10,8,Software Dev,
1278,@myangster,1,1,Startup Founder,
1279,@cpitkin,5,9,Software Dev,Bachelor's Degree
1280,@cggaurav,15,18,,
1281,@angeliquetoque,22,26,"Startup Founder, Marketing",
1282,@enelinpaas,1,2,,
1283,@mikepark,4,5,,
1284,@letsroamwild,15,14,,
1285,@mathieu_mcfly,8,6,Startup Founder,
1286,@piovella,8,11,"UI/UX Design, Creative",Master's Degree
1287,@lucyfchen,3,2,Product Manager,
1288,@ryanchatterton,28,4,"Startup Founder, Creative, Blogging, Marketing, SaaS",High School
1289,@luxeinacity,6,3,,
1290,@louhew,7,8,Product Manager,
1291,@petr_suska,19,16,Startup Founder,
1292,@andrii,0,2,,
1293,@nikkokzn,1,2,,
1294,@max232,0,2,,
1295,@jodebane,1,2,,
1296,@rob22922,0,1,,
1297,@imsuperiknow,0,1,,
1298,@aaz,259,46,"Web Dev, Software Dev, Startup Founder, Blogging, SaaS","High School, Bachelor's Degree, Master's Degree"
1299,@linzjub,1,1,,
1300,@luannalita,4,8,"Startup Founder, Creative",
1301,@ravirana211,2,24,,
1302,@brett,9,15,,
1303,@anderkd,4,7,,
1304,@kerouacsyndrome,1,2,,
1305,@conwayanderson,28,23,,
1306,@thoughtmechanic,0,1,,
1307,@jjuter,3,1,,
1308,@steve_verm,2,1,"Software Dev, Game Dev, Startup Founder",
1309,@artistdevida,0,3,Creative,
1310,@thefriendlydev,5,6,"Web Dev, Startup Founder",
1311,@kristinalogos,3,3,,
1312,@chong,3,11,Startup Founder,
1313,@igorjuacaba,0,3,,
1314,@diarrhio,1,2,,
1315,@patrickklima,2,4,Marketing,
1316,@piotr_nurek,0,1,,
1317,@radesmond,1,2,Startup Founder,
1318,@jirka,0,1,,
1319,@alicemeow,0,1,Support,
1320,@macwrites,9,3,"Creative, Marketing",Bachelor's Degree
1321,@raddougall,4,7,,
1322,@joshua,90,75,Startup Founder,
1323,@iamhalph,0,2,,
1324,@ovihentea,5,2,,
1325,@dnslnsyjhnsn,18,11,,High School
1326,@kelseykwong,9,5,,
1327,@jaistag,4,3,,
1328,@paulohp,9,9,"Web Dev, Software Dev, Mobile Dev, Blogging, Community",High School
1329,@iamrobh,0,1,,
1330,@clauignat,0,1,,
1331,@travis,0,1,,
1332,@gphillips_nz,4,7,"Web Dev, Software Dev, Startup Founder",
1333,@samueldelesque,2,6,Startup Founder,
1334,@paupi,0,5,,
1335,@abstaa,0,1,Politics,"Bachelor's Degree, Master's Degree"
1336,@cciarm,0,1,Software Dev,
1337,@shili,0,1,,
1338,@lukepancoe,2,1,,
1339,@joshuaballard,7,4,,
1340,@pitharat,1,2,,
1341,@amyyli,24,16,"Web Dev, Software Dev",
1342,@shalu610,1,2,Startup Founder,
1343,@edu,2,6,"Web Dev, Software Dev","High School, Bachelor's Degree, Master's Degree"
1344,@trevhud,1,2,,
1345,@mcseain,8,11,,
1346,@nicolevaron,4,2,,
1347,@nattaslounge,1,3,,
1348,@gradosevic,2,2,Software Dev,
1349,@jshlii,1,3,"Startup Founder, Marketing",
1350,@kwstasl,9,15,,
1351,@emmasteimann,7,3,,
1352,@smothers,4,4,"Software Dev, Startup Founder",
1353,@gowiem,5,5,Startup Founder,
1354,@mikerubini,21,155,Startup Founder,
1355,@kellymsheridan,16,6,"Journalism, Blogging, Fitness, Community, Sports",
1356,@joelrunyon,81,12,Startup Founder,
1357,@desirai,1,2,,
1358,@thedanielbrooks,1,2,,
1359,@goodforenergy,12,5,Software Dev,
1360,@magicsux,1,2,,
1361,@erik,2,2,,
